YYYYMMDD,RH
#,Opmerking:
#,SOURCE:
#,Comment:
#,STN
#,344
#,RH
#,"STN,YYYYMMDD,"
"344,20120209,",-1
"344,20120210,",0
"344,20120211,",0
"344,20120212,",5
"344,20120213,",18
"344,20120214,",19
"344,20120215,",29
"344,20120216,",6
"344,20120217,",4
"344,20120218,",80
"344,20120219,",25
"344,20120220,",-1
"344,20120221,",0
"344,20120222,",26
"344,20120223,",-1
"344,20120224,",1
"344,20120225,",0
"344,20120226,",0
"344,20120227,",0
"344,20120228,",3
"344,20120229,",-1
"344,20120301,",0
"344,20120302,",0
"344,20120303,",-1
"344,20120304,",43
"344,20120305,",45
"344,20120306,",0
"344,20120307,",123
"344,20120308,",0
"344,20120309,",0
"344,20120310,",1
"344,20120311,",0
"344,20120312,",0
"344,20120313,",0
"344,20120314,",0
"344,20120315,",0
"344,20120316,",0
"344,20120317,",-1
"344,20120318,",7
"344,20120319,",0
"344,20120320,",0
"344,20120321,",0
"344,20120322,",0
"344,20120323,",0
"344,20120324,",0
"344,20120325,",0
"344,20120326,",0
"344,20120327,",0
"344,20120328,",0
"344,20120329,",0
"344,20120330,",-1
"344,20120331,",-1
"344,20120401,",0
"344,20120402,",0
"344,20120403,",-1
"344,20120404,",40
"344,20120405,",0
"344,20120406,",10
"344,20120407,",3
"344,20120408,",30
"344,20120409,",65
"344,20120410,",23
"344,20120411,",13
"344,20120412,",-1
"344,20120413,",0
"344,20120414,",0
"344,20120415,",0
"344,20120416,",6
"344,20120417,",35
"344,20120418,",8
"344,20120419,",32
"344,20120420,",15
"344,20120421,",12
"344,20120422,",1
"344,20120423,",38
"344,20120424,",30
"344,20120425,",25
"344,20120426,",66
"344,20120427,",4
"344,20120428,",119
"344,20120429,",1
"344,20120430,",0
"344,20120501,",102
"344,20120502,",113
"344,20120503,",0
"344,20120504,",0
"344,20120505,",0
"344,20120506,",0
"344,20120507,",1
"344,20120508,",66
"344,20120509,",124
"344,20120510,",54
"344,20120511,",-1
"344,20120512,",2
"344,20120513,",0
"344,20120514,",15
"344,20120515,",106
"344,20120516,",21
"344,20120517,",0
"344,20120518,",3
"344,20120519,",0
"344,20120520,",51
"344,20120521,",0
"344,20120522,",0
"344,20120523,",0
"344,20120524,",0
"344,20120525,",0
"344,20120526,",0
"344,20120527,",0
"344,20120528,",0
"344,20120529,",35
"344,20120530,",0
"344,20120531,",72
"344,20120601,",5
"344,20120602,",0
"344,20120603,",101
"344,20120604,",157
"344,20120605,",1
"344,20120606,",69
"344,20120607,",17
"344,20120608,",7
"344,20120609,",21
"344,20120610,",-1
"344,20120611,",186
"344,20120612,",16
"344,20120613,",0
"344,20120614,",0
"344,20120615,",96
"344,20120616,",32
"344,20120617,",-1
"344,20120618,",130
"344,20120619,",0
"344,20120620,",0
"344,20120621,",112
"344,20120622,",71
"344,20120623,",0
"344,20120624,",132
"344,20120625,",0
"344,20120626,",0
"344,20120627,",0
"344,20120628,",-1
"344,20120629,",0
"344,20120630,",37
"344,20120701,",4
"344,20120702,",0
"344,20120703,",0
"344,20120704,",1
"344,20120705,",40
"344,20120706,",107
"344,20120707,",6
"344,20120708,",69
"344,20120709,",0
"344,20120710,",3
"344,20120711,",126
"344,20120712,",67
"344,20120713,",43
"344,20120714,",81
"344,20120715,",104
"344,20120716,",212
"344,20120717,",1
"344,20120718,",48
"344,20120719,",72
"344,20120720,",-1
"344,20120721,",1
"344,20120722,",0
"344,20120723,",0
"344,20120724,",0
"344,20120725,",0
"344,20120726,",0
"344,20120727,",83
"344,20120728,",1
"344,20120729,",36
"344,20120730,",97
